Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C123 Local Government Area 2011 to Remoteness Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 31 January 2013,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
LGA_CODE_2011,LGA_NAME_2011,RA_CODE_2011,RA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
,,,,,,,,,,,,
10050,Albury (C),11,Inner Regional Australia,1,100,,,,,,,
10110,Armidale Dumaresq (A),11,Inner Regional Australia,0.9124673,91.2467304,,,,,,,
10110,Armidale Dumaresq (A),12,Outer Regional Australia,0.0875327,8.7532696,,,,,,,
10150,Ashfield (A),10,Major Cities of Australia,1,100,,,,,,,
10200,Auburn (C),10,Major Cities of Australia,1,100,,,,,,,
10250,Ballina (A),11,Inner Regional Australia,1,100,,,,,,,
10300,Balranald (A),12,Outer Regional Australia,0.8541905,85.4190481,,,,,,,
10300,Balranald (A),13,Remote Australia,0.1458095,14.5809519,,,,,,,
10350,Bankstown (C),10,Major Cities of Australia,1,100,,,,,,,
10470,Bathurst Regional (A),11,Inner Regional Australia,0.979854,97.9854049,,,,,,,
10470,Bathurst Regional (A),12,Outer Regional Australia,0.020146,2.0145951,,,,,,,
10550,Bega Valley (A),12,Outer Regional Australia,1,100,,,,,,,
10600,Bellingen (A),11,Inner Regional Australia,0.0503203,5.032033,,,,,,,
10600,Bellingen (A),12,Outer Regional Australia,0.9496797,94.967967,,,,,,,
10650,Berrigan (A),11,Inner Regional Australia,0.7517348,75.1734799,,,,,,,
10650,Berrigan (A),12,Outer Regional Australia,0.2482652,24.8265201,,,,,,,
10750,Blacktown (C),10,Major Cities of Australia,1,100,,,,,,,
10800,Bland (A),12,Outer Regional Australia,0.9716962,97.1696225,,,,,,,
10800,Bland (A),13,Remote Australia,0.0283038,2.8303775,,,,,,,
10850,Blayney (A),11,Inner Regional Australia,0.869291,86.9291019,,,,,,,
10850,Blayney (A),12,Outer Regional Australia,0.130709,13.0708981,,,,,,,
10900,Blue Mountains (C),10,Major Cities of Australia,0.9173951,91.7395061,,,,,,,
10900,Blue Mountains (C),11,Inner Regional Australia,0.0826049,8.2604926,,,,,,,
10950,Bogan (A),13,Remote Australia,0.9968933,99.6893277,,,,,,,
10950,Bogan (A),14,Very Remote Australia,0.0031067,0.3106723,,,,,,,
11000,Bombala (A),12,Outer Regional Australia,1,100,,,,,,,
11050,Boorowa (A),11,Inner Regional Australia,0.7731885,77.3188522,,,,,,,
11050,Boorowa (A),12,Outer Regional Australia,0.2268115,22.6811478,,,,,,,
11100,Botany Bay (C),10,Major Cities of Australia,1,100,,,,,,,
11150,Bourke (A),14,Very Remote Australia,1,100,,,,,,,
11200,Brewarrina (A),13,Remote Australia,0.0104855,1.0485508,,,,,,,
11200,Brewarrina (A),14,Very Remote Australia,0.9895145,98.9514492,,,,,,,
11250,Broken Hill (C),12,Outer Regional Australia,1,100,,,,,,,
11300,Burwood (A),10,Major Cities of Australia,1,100,,,,,,,
11350,Byron (A),11,Inner Regional Australia,1,100,,,,,,,
11400,Cabonne (A),11,Inner Regional Australia,0.6028024,60.2802447,,,,,,,
11400,Cabonne (A),12,Outer Regional Australia,0.3971976,39.7197553,,,,,,,
11450,Camden (A),10,Major Cities of Australia,0.9866185,98.6618503,,,,,,,
11450,Camden (A),11,Inner Regional Australia,0.0133815,1.3381497,,,,,,,
11500,Campbelltown (C),10,Major Cities of Australia,1,99.9999993,,,,,,,
11520,Canada Bay (A),10,Major Cities of Australia,1,100,,,,,,,
