"Remoteness area, 2010–2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1: Deaths due to all causes (combined), by sex and year, 2010–2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,Persons,,,,,,,,,,,,,,,,
Remoteness area,,,,,,,,,Premature deaths (aged under 75),,,Potential years of life lost (PYLL),,Potentially avoidable deaths (PAD),,,,Remoteness area,,,,,,,,,Premature deaths (aged under 75),,,Potential years of life lost (PYLL),,Potentially avoidable deaths (PAD),,,,Remoteness area,,,,,,,,,Premature deaths (aged under 75),,,Potential years of life lost (PYLL),,Potentially avoidable deaths (PAD),,
Reference,Name,Year,Total deaths,Population,"Crude rate (per 100,000)","Age-standardised rate (per 100,000)",Rate ratio (relative to all of Australia),Median age at death (years),Premature deaths,Premature deaths (% of total deaths),"Premature deaths age-standardised rate (per 100,000)",PYLL under 75 (person-years),"PYLL under 75 rate (per 1,000)",PAD,PAD (% of premature deaths),"PAD age-standardised rate (per 100,000)",,Reference,Name,Year,Total deaths,Population,"Crude rate (per 100,000)","Age-standardised rate (per 100,000)",Rate ratio (relative to all of Australia),Median age at death (years),Premature deaths,Premature deaths (% of total deaths),"Premature deaths age-standardised rate (per 100,000)",PYLL under 75 (person-years),"PYLL under 75 rate (per 1,000)",PAD,PAD (% of premature deaths),"PAD age-standardised rate (per 100,000)",,Reference,Name,Year,Total deaths,Population,"Crude rate (per 100,000)","Age-standardised rate (per 100,000)",Rate ratio (relative to all of Australia),Median age at death (years),Premature deaths,Premature deaths (% of total deaths),"Premature deaths age-standardised rate (per 100,000)",PYLL under 75 (person-years),"PYLL under 75 rate (per 1,000)",PAD,PAD (% of premature deaths),"PAD age-standardised rate (per 100,000)"
REM1,Major Cities of Australia,2010,"46,834","7,646,326",612.5,657.9,0.95,78.0,"19,046",40.7,261.9,"342,258",44.8,"9,825",51.6,135.2,,REM1,Major Cities of Australia,2010,"46,338","7,796,569",594.3,450.6,0.95,84.0,"11,802",25.5,155.7,"199,946",25.6,"5,739",48.6,76.0,,REM1,Major Cities of Australia,2010,"93,172","15,442,895",603.3,543.2,0.95,81.0,"30,848",33.1,207.7,"542,204",35.1,"15,564",50.5,105.0
REM1,Major Cities of Australia,2011,"48,033","7,764,185",618.6,653.4,0.95,79.0,"19,172",39.9,255.9,"333,572",43.0,"9,866",51.5,131.8,,REM1,Major Cities of Australia,2011,"47,485","7,920,398",599.5,449.0,0.95,84.0,"11,960",25.2,154.3,"202,186",25.5,"5,827",48.7,75.5,,REM1,Major Cities of Australia,2011,"95,517","15,684,583",609.0,540.5,0.95,82.0,"31,132",32.6,204.1,"535,757",34.2,"15,693",50.4,103.2
REM1,Major Cities of Australia,2012,"47,415","7,917,617",598.9,625.4,0.95,79.0,"18,513",39.0,240.2,"319,974",40.4,"9,334",50.4,121.5,,REM1,Major Cities of Australia,2012,"48,031","8,074,459",594.9,442.5,0.95,85.0,"11,888",24.8,148.2,"199,470",24.7,"5,648",47.5,70.9,,REM1,Major Cities of Australia,2012,"95,447","15,992,076",596.8,524.7,0.95,82.0,"30,401",31.9,193.2,"519,443",32.5,"14,982",49.3,95.7
REM1,Major Cities of Australia,2013,"48,062","8,071,369",595.5,612.9,0.95,79.0,"19,216",40.0,242.6,"325,250",40.3,"9,714",50.5,123.1,,REM1,Major Cities of Australia,2013,"47,867","8,233,979",581.3,431.8,0.96,84.0,"12,200",25.5,147.5,"205,649",25.0,"5,763",47.2,70.2,,REM1,Major Cities of Australia,2013,"95,930","16,305,348",588.3,513.4,0.95,82.0,"31,416",32.7,194.0,"530,899",32.6,"15,476",49.3,96.1
REM1,Major Cities of Australia,2014,"49,903","8,208,235",608.0,617.1,0.96,79.0,"19,708",39.5,242.8,"332,913",40.6,"9,932",50.4,123.0,,REM1,Major Cities of Australia,2014,"50,166","8,382,459",598.5,440.5,0.96,85.0,"12,570",25.1,147.9,"207,940",24.8,"5,829",46.4,69.2,,REM1,Major Cities of Australia,2014,"100,068","16,590,694",603.2,520.8,0.95,82.0,"32,278",32.3,194.2,"540,853",32.6,"15,761",48.8,95.5
REM2,Inner Regional Australia,2010,"16,372","2,022,260",809.6,730.3,1.06,78.0,"6,900",42.1,305.3,"116,016",57.4,"3,586",52.0,163.4,,REM2,Inner Regional Australia,2010,"15,198","2,040,337",744.9,499.6,1.06,83.0,"4,090",26.9,178.8,"65,077",31.9,"1,963",48.0,87.5,,REM2,Inner Regional Australia,2010,"31,569","4,062,597",777.1,606.3,1.06,80.0,"10,991",34.8,242.0,"181,093",44.6,"5,549",50.5,125.4
REM2,Inner Regional Australia,2011,"17,128","2,045,617",837.3,736.3,1.07,78.0,"7,019",41.0,300.4,"114,014",55.7,"3,657",52.1,161.5,,REM2,Inner Regional Australia,2011,"15,947","2,065,393",772.1,507.3,1.08,84.0,"4,260",26.7,181.2,"68,792",33.3,"2,036",47.8,88.7,,REM2,Inner Regional Australia,2011,"33,075","4,111,010",804.6,612.7,1.07,81.0,"11,280",34.1,240.8,"182,805",44.5,"5,693",50.5,125.1
REM2,Inner Regional Australia,2012,"17,045","2,070,445",823.2,707.0,1.07,78.0,"6,964",40.9,290.3,"112,178",54.2,"3,670",52.7,158.4,,REM2,Inner Regional Australia,2012,"16,107","2,092,531",769.7,497.2,1.07,84.0,"4,227",26.2,174.5,"65,255",31.2,"2,020",47.8,85.7,,REM2,Inner Regional Australia,2012,"33,151","4,162,976",796.3,594.9,1.07,81.0,"11,191",33.8,232.3,"177,433",42.6,"5,690",50.8,122.0
REM2,Inner Regional Australia,2013,"17,148","2,095,001",818.5,685.5,1.06,78.0,"7,024",41.0,285.4,"112,521",53.7,"3,564",50.7,149.5,,REM2,Inner Regional Australia,2013,"15,953","2,118,755",753.0,480.3,1.07,84.0,"4,197",26.3,168.7,"66,518",31.4,"1,910",45.5,79.0,,REM2,Inner Regional Australia,2013,"33,101","4,213,756",785.5,576.8,1.07,81.0,"11,221",33.9,226.8,"179,039",42.5,"5,473",48.8,114.2
REM2,Inner Regional Australia,2014,"17,926","2,116,838",846.8,692.2,1.07,78.0,"7,451",41.6,297.7,"119,056",56.2,"3,793",50.9,158.1,,REM2,Inner Regional Australia,2014,"16,668","2,144,825",777.1,491.9,1.07,84.0,"4,627",27.8,181.7,"73,200",34.1,"2,269",49.0,92.0,,REM2,Inner Regional Australia,2014,"34,594","4,261,663",811.7,586.1,1.07,81.0,"12,077",34.9,239.4,"192,256",45.1,"6,062",50.2,124.8
